mood,text,id
joy,이유 없이 마음이 먼저 웃는다.,joy_001
joy,기쁨이 가볍게 안쪽에서 번진다.,joy_002
joy,작은 행운은 소리 없이 다가와 손바닥에 앉는다.,joy_003
joy,괜찮다는 말이 몸에서 먼저 나온다.,joy_004
joy,숨이 깊어지며 마음이 느슨해진다.,joy_005
joy,설렘은 준비물 없이도 시작된다.,joy_006
joy,지금의 행복을 미루지 않기로 한다.,joy_007
joy,마음이 환해져서 선택이 쉬워진다.,joy_008
joy,웃지 않아도 이미 따뜻하다.,joy_009
joy,작은 좋은 일이 하루를 구해낸다.,joy_010
joy,기분이 나를 위로하지 않아도 충분하다.,joy_011
joy,이 감정이 사라져도 흔적은 남는다.,joy_012
joy,기쁨이 나를 바꾸지 않고 그냥 둔다.,joy_013
joy,마음이 스스로를 믿어본다.,joy_014
joy,생각보다 내가 괜찮다는 느낌이 든다.,joy_015
joy,긴장이 풀리며 감정이 둥글어진다.,joy_016
joy,이유 없는 평온이 가장 설득력 있다.,joy_017
joy,기쁨이 말을 줄이고 감각을 남긴다.,joy_018
joy,마음이 오래 기다린 빛을 받는다.,joy_019
joy,행복이 소리 대신 온도로 남는다.,joy_020
disgust,기분이 상한 건 약해서가 아니라 정확해서다.,disgust_001
disgust,마음이 거칠어질 땐 숨을 한 박자 늦추는 게 이긴다.,disgust_002
disgust,남의 기대를 덜어내면 내 숨이 돌아온다.,disgust_003
disgust,싫은 건 싫다고 인정하는 순간이 시작이다.,disgust_004
disgust,나를 불편하게 만든 것과는 멀어질 시간이다.,disgust_005
disgust,불쾌함은 예민함이 아니라 경계선이다.,disgust_006
disgust,입안에 남은 찝찝함처럼 하루가 거칠다.,disgust_007
disgust,억지로 삼키면 결국 체한다.,disgust_008
disgust,기분이 상한 게 아니라 질서가 깨진 거다.,disgust_009
disgust,친절로 덮어두던 진실이 드러난다.,disgust_010
disgust,내 감정이 더 이상 포장지를 제공하지 않는다.,disgust_011
disgust,내가 나를 존중하기 시작했다는 신호다.,disgust_012
disgust,애매한 호의를 끊어내는 선명함이다.,disgust_013
disgust,더 이상 납득하지 않겠다는 내면의 선언이다.,disgust_014
disgust,감정이 날카로울 땐 결론보다 정리가 먼저다.,disgust_015
disgust,불쾌한 순간엔 ‘왜’보다 ‘뭐가’부터 붙잡는 게 낫다.,disgust_016
disgust,속이 불편할 땐 결론을 미루고 온도를 낮춘다.,disgust_017
disgust,마음의 먼지는 하루치면 충분히 쌓인다.,disgust_018
disgust,오늘의 날카로움은 내일의 단단함을 만드는 재료다.,disgust_019
disgust,마음이 더러워졌다고 느낄 땐 공간을 먼저 씻어낸다.,disgust_020
sadness,슬픔은 약함이 아니라 상실을 알아보는 감각이다.,sadness_001
sadness,견디는 하루는 성과가 아니라 생존 기록이다.,sadness_002
sadness,비어 보이는 시간에도 마음은 정리되고 있다.,sadness_003
sadness,오늘의 공허는 마음이 비워진 자리를 정확히 보여준다.,sadness_004
